ID,Courses
10001,Politics
10003,Science
10004,Computer
10006,Science
10008,Statistics
10009,Computer
10010,Statistics
10012,Statistics
10013,Geography
10014,Politics
10016,Geography
10017,Computer
10019,Science
10020,English
10021,Science
10022,Statistics
10023,Statistics
10025,Geography
10026,Politics
10027,Computer
10029,Politics
10031,English
10032,Computer
10033,Computer
10034,Statistics
10035,Statistics
10036,Statistics
10037,Science
10038,Politics
10039,English
10041,Politics
10042,Computer
10043,Geography
10044,Science
10045,Politics
10046,Science
10047,Computer
10048,Science
10049,English
10051,Computer
10052,Computer
10053,Science
10054,Computer
10055,English
10056,Science
10057,Statistics
10059,Politics
10060,Statistics
10061,English
10062,Science
10063,English
10065,Science
10066,Statistics
10067,English
10068,Politics
10069,English
10070,English
10071,English
10072,Statistics
10073,Statistics
10074,Science
10075,Science
10078,Politics
10079,English
10080,Science
10081,Computer
10082,Statistics
10083,Geography
10084,Politics
10085,Geography
10086,Computer
10087,Politics
10088,Computer
10089,English
10090,Politics
10091,Science
10092,Computer
10093,Politics
10094,Science
10095,Computer
10096,Statistics
10098,Geography
10099,English
